n	chi	lambda	k	t	fbest
200	0.125	100	2	27	200
200	0.125	100	2	58	200
200	0.125	100	2	31	200
200	0.125	100	2	81	200
200	0.125	100	2	30	200
200	0.125	100	2	106	200
200	0.125	100	2	41	200
200	0.125	100	2	37	200
200	0.125	100	2	77	200
200	0.125	100	2	27	200
200	0.125	100	2	29	200
200	0.125	100	2	48	200
200	0.125	100	2	45	200
200	0.125	100	2	57	200
200	0.125	100	2	65	200
200	0.125	100	2	29	200
200	0.125	100	2	56	200
200	0.125	100	2	30	200
200	0.125	100	2	59	200
200	0.125	100	2	37	200
200	0.125	100	2	40	200
200	0.125	100	2	29	200
200	0.125	100	2	30	200
200	0.125	100	2	85	200
200	0.125	100	2	40	200
200	0.125	100	2	49	200
200	0.125	100	2	33	200
200	0.125	100	2	98	200
200	0.125	100	2	38	200
200	0.125	100	2	90	200
200	0.125	100	2	30	200
200	0.125	100	2	29	200
200	0.125	100	2	82	200
200	0.125	100	2	30	200
200	0.125	100	2	47	200
200	0.125	100	2	30	200
200	0.125	100	2	31	200
200	0.125	100	2	31	200
200	0.125	100	2	31	200
200	0.125	100	2	45	200
200	0.125	100	2	30	200
200	0.125	100	2	56	200
200	0.125	100	2	31	200
200	0.125	100	2	35	200
200	0.125	100	2	33	200
200	0.125	100	2	50	200
200	0.125	100	2	33	200
200	0.125	100	2	66	200
200	0.125	100	2	49	200
200	0.125	100	2	29	200
200	0.125	100	2	48	200
200	0.125	100	2	29	200
200	0.125	100	2	29	200
200	0.125	100	2	42	200
200	0.125	100	2	32	200
200	0.125	100	2	38	200
200	0.125	100	2	32	200
200	0.125	100	2	28	200
200	0.125	100	2	69	200
200	0.125	100	2	30	200
200	0.125	100	2	43	200
200	0.125	100	2	32	200
200	0.125	100	2	83	200
200	0.125	100	2	40	200
200	0.125	100	2	47	200
200	0.125	100	2	163	200
200	0.125	100	2	29	200
200	0.125	100	2	52	200
200	0.125	100	2	31	200
200	0.125	100	2	35	200
200	0.125	100	2	43	200
200	0.125	100	2	29	200
200	0.125	100	2	43	200
200	0.125	100	2	43	200
200	0.125	100	2	55	200
200	0.125	100	2	53	200
200	0.125	100	2	30	200
200	0.125	100	2	55	200
200	0.125	100	2	46	200
200	0.125	100	2	43	200
200	0.125	100	2	51	200
200	0.125	100	2	31	200
200	0.125	100	2	45	200
200	0.125	100	2	31	200
200	0.125	100	2	30	200
200	0.125	100	2	111	200
200	0.125	100	2	35	200
200	0.125	100	2	50	200
200	0.125	100	2	33	200
200	0.125	100	2	70	200
200	0.125	100	2	35	200
200	0.125	100	2	39	200
200	0.125	100	2	28	200
200	0.125	100	2	36	200
200	0.125	100	2	32	200
200	0.125	100	2	30	200
200	0.125	100	2	30	200
200	0.125	100	2	38	200
200	0.125	100	2	52	200
200	0.125	100	2	33	200
200	0.25	100	2	33	200
200	0.25	100	2	34	200
200	0.25	100	2	42	200
200	0.25	100	2	31	200
200	0.25	100	2	50	200
200	0.25	100	2	39	200
200	0.25	100	2	32	200
200	0.25	100	2	42	200
200	0.25	100	2	28	200
200	0.25	100	2	31	200
200	0.25	100	2	38	200
200	0.25	100	2	42	200
200	0.25	100	2	30	200
200	0.25	100	2	32	200
200	0.25	100	2	35	200
200	0.25	100	2	32	200
200	0.25	100	2	39	200
200	0.25	100	2	35	200
200	0.25	100	2	31	200
200	0.25	100	2	30	200
200	0.25	100	2	33	200
200	0.25	100	2	34	200
200	0.25	100	2	35	200
200	0.25	100	2	53	200
200	0.25	100	2	34	200
200	0.25	100	2	37	200
200	0.25	100	2	30	200
200	0.25	100	2	35	200
200	0.25	100	2	29	200
200	0.25	100	2	50	200
200	0.25	100	2	30	200
200	0.25	100	2	35	200
200	0.25	100	2	65	200
200	0.25	100	2	46	200
200	0.25	100	2	35	200
200	0.25	100	2	45	200
200	0.25	100	2	32	200
200	0.25	100	2	34	200
200	0.25	100	2	35	200
200	0.25	100	2	33	200
200	0.25	100	2	29	200
200	0.25	100	2	34	200
200	0.25	100	2	32	200
200	0.25	100	2	29	200
200	0.25	100	2	44	200
200	0.25	100	2	34	200
200	0.25	100	2	34	200
200	0.25	100	2	28	200
200	0.25	100	2	52	200
200	0.25	100	2	49	200
200	0.25	100	2	48	200
200	0.25	100	2	34	200
200	0.25	100	2	43	200
200	0.25	100	2	73	200
200	0.25	100	2	33	200
200	0.25	100	2	29	200
200	0.25	100	2	31	200
200	0.25	100	2	39	200
200	0.25	100	2	31	200
200	0.25	100	2	54	200
200	0.25	100	2	74	200
200	0.25	100	2	32	200
200	0.25	100	2	31	200
200	0.25	100	2	55	200
200	0.25	100	2	31	200
200	0.25	100	2	30	200
200	0.25	100	2	31	200
200	0.25	100	2	31	200
200	0.25	100	2	34	200
200	0.25	100	2	32	200
200	0.25	100	2	33	200
200	0.25	100	2	44	200
200	0.25	100	2	36	200
200	0.25	100	2	31	200
200	0.25	100	2	32	200
200	0.25	100	2	56	200
200	0.25	100	2	37	200
200	0.25	100	2	33	200
200	0.25	100	2	30	200
200	0.25	100	2	32	200
200	0.25	100	2	55	200
200	0.25	100	2	32	200
200	0.25	100	2	30	200
200	0.25	100	2	66	200
200	0.25	100	2	34	200
200	0.25	100	2	54	200
200	0.25	100	2	41	200
200	0.25	100	2	30	200
200	0.25	100	2	33	200
200	0.25	100	2	35	200
200	0.25	100	2	32	200
200	0.25	100	2	37	200
200	0.25	100	2	30	200
200	0.25	100	2	33	200
200	0.25	100	2	29	200
200	0.25	100	2	31	200
200	0.25	100	2	36	200
200	0.25	100	2	33	200
200	0.25	100	2	33	200
200	0.25	100	2	29	200
200	0.375	100	2	31	200
200	0.375	100	2	33	200
200	0.375	100	2	31	200
200	0.375	100	2	34	200
200	0.375	100	2	34	200
200	0.375	100	2	45	200
200	0.375	100	2	37	200
200	0.375	100	2	37	200
200	0.375	100	2	47	200
200	0.375	100	2	43	200
200	0.375	100	2	57	200
200	0.375	100	2	32	200
200	0.375	100	2	33	200
200	0.375	100	2	51	200
200	0.375	100	2	33	200
200	0.375	100	2	30	200
200	0.375	100	2	38	200
200	0.375	100	2	32	200
200	0.375	100	2	36	200
200	0.375	100	2	34	200
200	0.375	100	2	42	200
200	0.375	100	2	31	200
200	0.375	100	2	37	200
200	0.375	100	2	32	200
200	0.375	100	2	35	200
200	0.375	100	2	38	200
200	0.375	100	2	32	200
200	0.375	100	2	42	200
200	0.375	100	2	57	200
200	0.375	100	2	35	200
200	0.375	100	2	43	200
200	0.375	100	2	30	200
200	0.375	100	2	34	200
200	0.375	100	2	34	200
200	0.375	100	2	30	200
200	0.375	100	2	29	200
200	0.375	100	2	40	200
200	0.375	100	2	38	200
200	0.375	100	2	40	200
200	0.375	100	2	31	200
200	0.375	100	2	35	200
200	0.375	100	2	32	200
200	0.375	100	2	33	200
200	0.375	100	2	30	200
200	0.375	100	2	58	200
200	0.375	100	2	30	200
200	0.375	100	2	35	200
200	0.375	100	2	50	200
200	0.375	100	2	34	200
200	0.375	100	2	32	200
200	0.375	100	2	33	200
200	0.375	100	2	30	200
200	0.375	100	2	41	200
200	0.375	100	2	33	200
200	0.375	100	2	40	200
200	0.375	100	2	38	200
200	0.375	100	2	35	200
200	0.375	100	2	30	200
200	0.375	100	2	34	200
200	0.375	100	2	40	200
200	0.375	100	2	30	200
200	0.375	100	2	30	200
200	0.375	100	2	31	200
200	0.375	100	2	31	200
200	0.375	100	2	32	200
200	0.375	100	2	32	200
200	0.375	100	2	31	200
200	0.375	100	2	35	200
200	0.375	100	2	32	200
200	0.375	100	2	51	200
200	0.375	100	2	34	200
200	0.375	100	2	38	200
200	0.375	100	2	32	200
200	0.375	100	2	46	200
200	0.375	100	2	34	200
200	0.375	100	2	33	200
200	0.375	100	2	32	200
200	0.375	100	2	49	200
200	0.375	100	2	39	200
200	0.375	100	2	35	200
200	0.375	100	2	39	200
200	0.375	100	2	33	200
200	0.375	100	2	30	200
200	0.375	100	2	33	200
200	0.375	100	2	33	200
200	0.375	100	2	33	200
200	0.375	100	2	41	200
200	0.375	100	2	35	200
200	0.375	100	2	41	200
200	0.375	100	2	34	200
200	0.375	100	2	38	200
200	0.375	100	2	37	200
200	0.375	100	2	34	200
200	0.375	100	2	28	200
200	0.375	100	2	39	200
200	0.375	100	2	49	200
200	0.375	100	2	49	200
200	0.375	100	2	33	200
200	0.375	100	2	34	200
200	0.375	100	2	31	200
200	0.5	100	2	45	200
200	0.5	100	2	31	200
200	0.5	100	2	35	200
200	0.5	100	2	35	200
200	0.5	100	2	31	200
200	0.5	100	2	36	200
200	0.5	100	2	43	200
200	0.5	100	2	33	200
200	0.5	100	2	44	200
200	0.5	100	2	37	200
200	0.5	100	2	32	200
200	0.5	100	2	34	200
200	0.5	100	2	33	200
200	0.5	100	2	42	200
200	0.5	100	2	31	200
200	0.5	100	2	32	200
200	0.5	100	2	32	200
200	0.5	100	2	36	200
200	0.5	100	2	28	200
200	0.5	100	2	35	200
200	0.5	100	2	37	200
200	0.5	100	2	36	200
200	0.5	100	2	42	200
200	0.5	100	2	41	200
200	0.5	100	2	56	200
200	0.5	100	2	49	200
200	0.5	100	2	31	200
200	0.5	100	2	34	200
200	0.5	100	2	33	200
200	0.5	100	2	33	200
200	0.5	100	2	32	200
200	0.5	100	2	33	200
200	0.5	100	2	33	200
200	0.5	100	2	35	200
200	0.5	100	2	32	200
200	0.5	100	2	43	200
200	0.5	100	2	35	200
200	0.5	100	2	31	200
200	0.5	100	2	36	200
200	0.5	100	2	33	200
200	0.5	100	2	40	200
200	0.5	100	2	40	200
200	0.5	100	2	34	200
200	0.5	100	2	36	200
200	0.5	100	2	36	200
200	0.5	100	2	33	200
200	0.5	100	2	35	200
200	0.5	100	2	41	200
200	0.5	100	2	33	200
200	0.5	100	2	33	200
200	0.5	100	2	35	200
200	0.5	100	2	33	200
200	0.5	100	2	32	200
200	0.5	100	2	31	200
200	0.5	100	2	38	200
200	0.5	100	2	35	200
200	0.5	100	2	34	200
200	0.5	100	2	51	200
200	0.5	100	2	43	200
200	0.5	100	2	31	200
200	0.5	100	2	38	200
200	0.5	100	2	32	200
200	0.5	100	2	31	200
200	0.5	100	2	31	200
200	0.5	100	2	35	200
200	0.5	100	2	39	200
200	0.5	100	2	40	200
200	0.5	100	2	34	200
200	0.5	100	2	36	200
200	0.5	100	2	33	200
200	0.5	100	2	46	200
200	0.5	100	2	41	200
200	0.5	100	2	32	200
200	0.5	100	2	34	200
200	0.5	100	2	43	200
200	0.5	100	2	34	200
200	0.5	100	2	33	200
200	0.5	100	2	49	200
200	0.5	100	2	35	200
200	0.5	100	2	33	200
200	0.5	100	2	33	200
200	0.5	100	2	30	200
200	0.5	100	2	35	200
200	0.5	100	2	38	200
200	0.5	100	2	44	200
200	0.5	100	2	33	200
200	0.5	100	2	39	200
200	0.5	100	2	74	200
200	0.5	100	2	35	200
200	0.5	100	2	33	200
200	0.5	100	2	41	200
200	0.5	100	2	31	200
200	0.5	100	2	31	200
200	0.5	100	2	46	200
200	0.5	100	2	31	200
200	0.5	100	2	30	200
200	0.5	100	2	36	200
200	0.5	100	2	41	200
200	0.5	100	2	32	200
200	0.5	100	2	31	200
200	0.625	100	2	47	200
200	0.625	100	2	32	200
200	0.625	100	2	31	200
200	0.625	100	2	38	200
200	0.625	100	2	38	200
200	0.625	100	2	35	200
200	0.625	100	2	40	200
200	0.625	100	2	32	200
200	0.625	100	2	36	200
200	0.625	100	2	33	200
200	0.625	100	2	34	200
200	0.625	100	2	35	200
200	0.625	100	2	38	200
200	0.625	100	2	44	200
200	0.625	100	2	34	200
200	0.625	100	2	35	200
200	0.625	100	2	35	200
200	0.625	100	2	33	200
200	0.625	100	2	36	200
200	0.625	100	2	33	200
200	0.625	100	2	39	200
200	0.625	100	2	35	200
200	0.625	100	2	36	200
200	0.625	100	2	29	200
200	0.625	100	2	34	200
200	0.625	100	2	34	200
200	0.625	100	2	35	200
200	0.625	100	2	41	200
200	0.625	100	2	40	200
200	0.625	100	2	38	200
200	0.625	100	2	29	200
200	0.625	100	2	37	200
200	0.625	100	2	34	200
200	0.625	100	2	33	200
200	0.625	100	2	35	200
200	0.625	100	2	47	200
200	0.625	100	2	35	200
200	0.625	100	2	33	200
200	0.625	100	2	40	200
200	0.625	100	2	33	200
200	0.625	100	2	31	200
200	0.625	100	2	30	200
200	0.625	100	2	38	200
200	0.625	100	2	36	200
200	0.625	100	2	31	200
200	0.625	100	2	32	200
200	0.625	100	2	33	200
200	0.625	100	2	41	200
200	0.625	100	2	32	200
200	0.625	100	2	43	200
200	0.625	100	2	34	200
200	0.625	100	2	34	200
200	0.625	100	2	37	200
200	0.625	100	2	32	200
200	0.625	100	2	33	200
200	0.625	100	2	34	200
200	0.625	100	2	31	200
200	0.625	100	2	34	200
200	0.625	100	2	40	200
200	0.625	100	2	41	200
200	0.625	100	2	33	200
200	0.625	100	2	34	200
200	0.625	100	2	46	200
200	0.625	100	2	36	200
200	0.625	100	2	44	200
200	0.625	100	2	39	200
200	0.625	100	2	38	200
200	0.625	100	2	34	200
200	0.625	100	2	40	200
200	0.625	100	2	36	200
200	0.625	100	2	38	200
200	0.625	100	2	33	200
200	0.625	100	2	49	200
200	0.625	100	2	39	200
200	0.625	100	2	40	200
200	0.625	100	2	31	200
200	0.625	100	2	34	200
200	0.625	100	2	44	200
200	0.625	100	2	31	200
200	0.625	100	2	31	200
200	0.625	100	2	39	200
200	0.625	100	2	32	200
200	0.625	100	2	40	200
200	0.625	100	2	33	200
200	0.625	100	2	32	200
200	0.625	100	2	39	200
200	0.625	100	2	35	200
200	0.625	100	2	34	200
200	0.625	100	2	46	200
200	0.625	100	2	35	200
200	0.625	100	2	34	200
200	0.625	100	2	34	200
200	0.625	100	2	36	200
200	0.625	100	2	42	200
200	0.625	100	2	31	200
200	0.625	100	2	33	200
200	0.625	100	2	33	200
200	0.625	100	2	44	200
200	0.625	100	2	37	200
200	0.625	100	2	39	200
200	0.75	100	2	35	200
200	0.75	100	2	33	200
200	0.75	100	2	39	200
200	0.75	100	2	33	200
200	0.75	100	2	37	200
200	0.75	100	2	35	200
200	0.75	100	2	34	200
200	0.75	100	2	37	200
200	0.75	100	2	34	200
200	0.75	100	2	39	200
200	0.75	100	2	49	200
200	0.75	100	2	37	200
200	0.75	100	2	33	200
200	0.75	100	2	37	200
200	0.75	100	2	39	200
200	0.75	100	2	36	200
200	0.75	100	2	32	200
200	0.75	100	2	39	200
200	0.75	100	2	33	200
200	0.75	100	2	33	200
200	0.75	100	2	44	200
200	0.75	100	2	35	200
200	0.75	100	2	38	200
200	0.75	100	2	33	200
200	0.75	100	2	37	200
200	0.75	100	2	34	200
200	0.75	100	2	36	200
200	0.75	100	2	35	200
200	0.75	100	2	35	200
200	0.75	100	2	34	200
200	0.75	100	2	37	200
200	0.75	100	2	34	200
200	0.75	100	2	37	200
200	0.75	100	2	40	200
200	0.75	100	2	36	200
200	0.75	100	2	47	200
200	0.75	100	2	33	200
200	0.75	100	2	37	200
200	0.75	100	2	34	200
200	0.75	100	2	36	200
200	0.75	100	2	34	200
200	0.75	100	2	36	200
200	0.75	100	2	34	200
200	0.75	100	2	34	200
200	0.75	100	2	38	200
200	0.75	100	2	32	200
200	0.75	100	2	37	200
200	0.75	100	2	37	200
200	0.75	100	2	34	200
200	0.75	100	2	37	200
200	0.75	100	2	34	200
200	0.75	100	2	33	200
200	0.75	100	2	35	200
200	0.75	100	2	36	200
200	0.75	100	2	34	200
200	0.75	100	2	36	200
200	0.75	100	2	35	200
200	0.75	100	2	33	200
200	0.75	100	2	34	200
200	0.75	100	2	40	200
200	0.75	100	2	32	200
200	0.75	100	2	33	200
200	0.75	100	2	40	200
200	0.75	100	2	39	200
200	0.75	100	2	33	200
200	0.75	100	2	32	200
200	0.75	100	2	34	200
200	0.75	100	2	36	200
200	0.75	100	2	37	200
200	0.75	100	2	34	200
200	0.75	100	2	35	200
200	0.75	100	2	34	200
200	0.75	100	2	37	200
200	0.75	100	2	33	200
200	0.75	100	2	36	200
200	0.75	100	2	36	200
200	0.75	100	2	35	200
200	0.75	100	2	32	200
200	0.75	100	2	38	200
200	0.75	100	2	36	200
200	0.75	100	2	33	200
200	0.75	100	2	34	200
200	0.75	100	2	33	200
200	0.75	100	2	34	200
200	0.75	100	2	36	200
200	0.75	100	2	33	200
200	0.75	100	2	37	200
200	0.75	100	2	36	200
200	0.75	100	2	35	200
200	0.75	100	2	35	200
200	0.75	100	2	39	200
200	0.75	100	2	35	200
200	0.75	100	2	36	200
200	0.75	100	2	36	200
200	0.75	100	2	36	200
200	0.75	100	2	40	200
200	0.75	100	2	40	200
200	0.75	100	2	37	200
200	0.75	100	2	35	200
200	0.75	100	2	32	200
200	0.875	100	2	36	200
200	0.875	100	2	37	200
200	0.875	100	2	42	200
200	0.875	100	2	34	200
200	0.875	100	2	36	200
200	0.875	100	2	38	200
200	0.875	100	2	35	200
200	0.875	100	2	37	200
200	0.875	100	2	40	200
200	0.875	100	2	37	200
200	0.875	100	2	36	200
200	0.875	100	2	37	200
200	0.875	100	2	38	200
200	0.875	100	2	34	200
200	0.875	100	2	40	200
200	0.875	100	2	39	200
200	0.875	100	2	40	200
200	0.875	100	2	34	200
200	0.875	100	2	35	200
200	0.875	100	2	38	200
200	0.875	100	2	34	200
200	0.875	100	2	32	200
200	0.875	100	2	37	200
200	0.875	100	2	36	200
200	0.875	100	2	34	200
200	0.875	100	2	40	200
200	0.875	100	2	38	200
200	0.875	100	2	35	200
200	0.875	100	2	37	200
200	0.875	100	2	36	200
200	0.875	100	2	44	200
200	0.875	100	2	34	200
200	0.875	100	2	37	200
200	0.875	100	2	42	200
200	0.875	100	2	38	200
200	0.875	100	2	35	200
200	0.875	100	2	37	200
200	0.875	100	2	34	200
200	0.875	100	2	35	200
200	0.875	100	2	38	200
200	0.875	100	2	36	200
200	0.875	100	2	46	200
200	0.875	100	2	42	200
200	0.875	100	2	35	200
200	0.875	100	2	39	200
200	0.875	100	2	34	200
200	0.875	100	2	43	200
200	0.875	100	2	34	200
200	0.875	100	2	34	200
200	0.875	100	2	34	200
200	0.875	100	2	37	200
200	0.875	100	2	38	200
200	0.875	100	2	34	200
200	0.875	100	2	35	200
200	0.875	100	2	44	200
200	0.875	100	2	47	200
200	0.875	100	2	36	200
200	0.875	100	2	34	200
200	0.875	100	2	37	200
200	0.875	100	2	48	200
200	0.875	100	2	33	200
200	0.875	100	2	36	200
200	0.875	100	2	38	200
200	0.875	100	2	43	200
200	0.875	100	2	32	200
200	0.875	100	2	34	200
200	0.875	100	2	40	200
200	0.875	100	2	33	200
200	0.875	100	2	34	200
200	0.875	100	2	36	200
200	0.875	100	2	40	200
200	0.875	100	2	36	200
200	0.875	100	2	37	200
200	0.875	100	2	34	200
200	0.875	100	2	52	200
200	0.875	100	2	35	200
200	0.875	100	2	37	200
200	0.875	100	2	34	200
200	0.875	100	2	41	200
200	0.875	100	2	40	200
200	0.875	100	2	33	200
200	0.875	100	2	42	200
200	0.875	100	2	33	200
200	0.875	100	2	36	200
200	0.875	100	2	31	200
200	0.875	100	2	40	200
200	0.875	100	2	39	200
200	0.875	100	2	34	200
200	0.875	100	2	34	200
200	0.875	100	2	37	200
200	0.875	100	2	39	200
200	0.875	100	2	34	200
200	0.875	100	2	37	200
200	0.875	100	2	31	200
200	0.875	100	2	42	200
200	0.875	100	2	37	200
200	0.875	100	2	37	200
200	0.875	100	2	34	200
200	0.875	100	2	33	200
200	0.875	100	2	39	200
200	1.0	100	2	35	200
200	1.0	100	2	36	200
200	1.0	100	2	43	200
200	1.0	100	2	30	200
200	1.0	100	2	43	200
200	1.0	100	2	36	200
200	1.0	100	2	34	200
200	1.0	100	2	37	200
200	1.0	100	2	39	200
200	1.0	100	2	37	200
200	1.0	100	2	35	200
200	1.0	100	2	35	200
200	1.0	100	2	39	200
200	1.0	100	2	35	200
200	1.0	100	2	34	200
200	1.0	100	2	36	200
200	1.0	100	2	35	200
200	1.0	100	2	39	200
200	1.0	100	2	36	200
200	1.0	100	2	34	200
200	1.0	100	2	37	200
200	1.0	100	2	46	200
200	1.0	100	2	34	200
200	1.0	100	2	37	200
200	1.0	100	2	41	200
200	1.0	100	2	35	200
200	1.0	100	2	40	200
200	1.0	100	2	36	200
200	1.0	100	2	40	200
200	1.0	100	2	35	200
200	1.0	100	2	39	200
200	1.0	100	2	39	200
200	1.0	100	2	33	200
200	1.0	100	2	45	200
200	1.0	100	2	37	200
200	1.0	100	2	31	200
200	1.0	100	2	36	200
200	1.0	100	2	41	200
200	1.0	100	2	40	200
200	1.0	100	2	38	200
200	1.0	100	2	36	200
200	1.0	100	2	42	200
200	1.0	100	2	48	200
200	1.0	100	2	38	200
200	1.0	100	2	35	200
200	1.0	100	2	42	200
200	1.0	100	2	39	200
200	1.0	100	2	35	200
200	1.0	100	2	40	200
200	1.0	100	2	34	200
200	1.0	100	2	42	200
200	1.0	100	2	39	200
200	1.0	100	2	36	200
200	1.0	100	2	38	200
200	1.0	100	2	43	200
200	1.0	100	2	38	200
200	1.0	100	2	36	200
200	1.0	100	2	41	200
200	1.0	100	2	52	200
200	1.0	100	2	41	200
200	1.0	100	2	39	200
200	1.0	100	2	32	200
200	1.0	100	2	37	200
200	1.0	100	2	40	200
200	1.0	100	2	36	200
200	1.0	100	2	36	200
200	1.0	100	2	35	200
200	1.0	100	2	36	200
200	1.0	100	2	41	200
200	1.0	100	2	37	200
200	1.0	100	2	39	200
200	1.0	100	2	40	200
200	1.0	100	2	40	200
200	1.0	100	2	36	200
200	1.0	100	2	37	200
200	1.0	100	2	36	200
200	1.0	100	2	37	200
200	1.0	100	2	37	200
200	1.0	100	2	37	200
200	1.0	100	2	42	200
